# time C ID fromHost toHost size ttl
3417.1000 C floating160-3417-111  p111 V0 11530 2147483647
3440.0000 C floating161-3440-24  c24 V0 31897 2147483647
3469.9000 C floating162-3470-21  c21 V0 18498 2147483647
3501.8000 C floating163-3502-52  w52 V0 46670 2147483647
3522.6000 C floating164-3523-66  w66 V0 42928 2147483647
3544.0000 C floating165-3544-110  p110 V0 2236 2147483647
3610.3000 C floating166-3610-6  c6 V0 28427 2147483647
3641.2000 C floating167-3641-28  c28 V0 18798 2147483647
3654.0000 C floating168-3654-101  p101 V0 17329 2147483647
3656.7000 C floating169-3657-54  w54 V0 4197 2147483647
3698.1000 C floating170-3698-70  w70 V0 40549 2147483647
3713.8000 C floating171-3714-119  p119 V0 45384 2147483647
3740.4000 C floating172-3740-97  p97 V0 34206 2147483647
3770.5000 C floating173-3770-30  c30 V0 29979 2147483647
3800.1000 C floating174-3800-115  p115 V0 28976 2147483647
3803.4000 C floating175-3803-46  w46 V0 17331 2147483647
3814.6000 C floating176-3815-51  w51 V0 45102 2147483647
3819.5000 C floating177-3819-37  c37 V0 45198 2147483647
3822.7000 C floating178-3823-26  c26 V0 43919 2147483647
3843.4000 C floating179-3843-40  c40 V0 13858 2147483647
3845.7000 C floating180-3846-73  w73 V0 15206 2147483647
3858.4000 C floating181-3858-94  p94 V0 12433 2147483647
3861.1000 C floating182-3861-99  p99 V0 7091 2147483647
3872.2000 C floating183-3872-82  t82 V0 24223 2147483647
3929.4000 C floating184-3929-117  p117 V0 35571 2147483647
3948.8000 C floating185-3949-39  c39 V0 45025 2147483647
3957.3000 C floating186-3957-16  c16 V0 8156 2147483647
3975.0000 C floating187-3975-75  w75 V0 39909 2147483647
4015.8000 C floating188-4016-55  w55 V0 26329 2147483647
4019.0000 C floating189-4019-44  w44 V0 39605 2147483647
4034.3000 C floating190-4034-100  p100 V0 2921 2147483647
4036.7000 C floating191-4037-103  p103 V0 30772 2147483647
4066.7000 C floating192-4067-124  p124 V0 42831 2147483647
4124.4000 C floating193-4124-20  c20 V0 1528 2147483647
4135.6000 C floating194-4136-25  c25 V0 7340 2147483647
4163.7000 C floating195-4164-102  p102 V0 19836 2147483647
4171.2000 C floating196-4171-93  p93 V0 12400 2147483647
4176.1000 C floating197-4176-79  w79 V0 38982 2147483647
4253.7000 C floating198-4254-22  c22 V0 29037 2147483647
4257.5000 C floating199-4257-89  p89 V0 39006 2147483647
4336.7000 C floating200-4337-29  c29 V0 37898 2147483647
4340.0000 C floating201-4340-18  c18 V0 31327 2147483647
4347.6000 C floating202-4348-9  c9 V0 27536 2147483647
4357.7000 C floating203-4358-77  w77 V0 32815 2147483647
4368.3000 C floating204-4368-118  p118 V0 14246 2147483647
4375.7000 C floating205-4376-86  t86 V0 48896 2147483647
4450.6000 C floating206-4451-5  c5 V0 9965 2147483647
4454.6000 C floating207-4455-114  p114 V0 45003 2147483647
4469.1000 C floating208-4469-50  w50 V0 15261 2147483647
